15:41:52.280  异常信息：未将对象引用设置到对象的实例。
  堆栈信息:   在 FishClient.UserManager.SaveUser(PersonEntity user) 位置 e:\MyJob\Person\Project\FishManageMS\SRC\FishSolution\FishClient\UserManager.cs:行号 118
15:41:55.390  异常信息：未将对象引用设置到对象的实例。
  堆栈信息:   在 FishClient.UserManager.SaveUser(PersonEntity user) 位置 e:\MyJob\Person\Project\FishManageMS\SRC\FishSolution\FishClient\UserManager.cs:行号 118
15:41:59.473  异常信息：未将对象引用设置到对象的实例。
  堆栈信息:   在 FishClient.UserManager.SaveUser(PersonEntity user) 位置 e:\MyJob\Person\Project\FishManageMS\SRC\FishSolution\FishClient\UserManager.cs:行号 118
15:43:50.669  异常信息：未将对象引用设置到对象的实例。
  堆栈信息:   在 FishClient.UserManager.SaveUser(PersonEntity user) 位置 e:\MyJob\Person\Project\FishManageMS\SRC\FishSolution\FishClient\UserManager.cs:行号 118
15:44:08.579  异常信息：未将对象引用设置到对象的实例。
  堆栈信息:   在 FishClient.UserManager.SaveUser(PersonEntity user) 位置 e:\MyJob\Person\Project\FishManageMS\SRC\FishSolution\FishClient\UserManager.cs:行号 118
15:44:10.891  异常信息：未将对象引用设置到对象的实例。
  堆栈信息:   在 FishClient.UserManager.SaveUser(PersonEntity user) 位置 e:\MyJob\Person\Project\FishManageMS\SRC\FishSolution\FishClient\UserManager.cs:行号 118
15:44:17.576  异常信息：未将对象引用设置到对象的实例。
  堆栈信息:   在 FishClient.UserManager.SaveUser(PersonEntity user) 位置 e:\MyJob\Person\Project\FishManageMS\SRC\FishSolution\FishClient\UserManager.cs:行号 118
15:44:21.692  异常信息：未将对象引用设置到对象的实例。
  堆栈信息:   在 FishClient.UserManager.SaveUser(PersonEntity user) 位置 e:\MyJob\Person\Project\FishManageMS\SRC\FishSolution\FishClient\UserManager.cs:行号 118
15:56:37.575  异常信息：未将对象引用设置到对象的实例。
  堆栈信息:   在 FishClient.UserManager.SaveUser(PersonEntity user) 位置 e:\MyJob\Person\Project\FishManageMS\SRC\FishSolution\FishClient\UserManager.cs:行号 118
15:57:03.870  异常信息：未将对象引用设置到对象的实例。
  堆栈信息:   在 FishClient.UserManager.SaveUser(PersonEntity user) 位置 e:\MyJob\Person\Project\FishManageMS\SRC\FishSolution\FishClient\UserManager.cs:行号 118
15:58:03.359  异常信息：未将对象引用设置到对象的实例。
  堆栈信息:   在 FishClient.UserManager.SaveUser(PersonEntity user) 位置 e:\MyJob\Person\Project\FishManageMS\SRC\FishSolution\FishClient\UserManager.cs:行号 118
15:58:03.377  异常信息：未将对象引用设置到对象的实例。
  堆栈信息:   在 FishClient.UserManager.SaveUser(PersonEntity user) 位置 e:\MyJob\Person\Project\FishManageMS\SRC\FishSolution\FishClient\UserManager.cs:行号 118
